airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Indigo,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6206
Indigo,2019-04-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,7173
Air Asia,2019-06-03,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10262
Indigo,2019-06-03,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Air India,2019-03-09,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5831
Air India,2019-05-27,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,15129
Jet Airways,2019-06-24,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,20:20:00,1375,1.0,No Info,17471
Vistara,2019-03-06,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,7414
Multiple Carriers,2019-03-21,Delhi,Cochin,14:35:00,22:20:00,465,1.0,In-flight meal not included,5999
Indigo,2019-05-15,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Spicejet,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Air India,2019-03-01,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No Info,31783
Jet Airways,2019-06-09,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,18371
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Spicejet,2019-05-09,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6171
Air Asia,2019-06-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Indigo,2019-06-15,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,5883
Vistara,2019-06-01,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6741
Jet Airways,2019-05-01,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2228
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,10844
Indigo,2019-06-21,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3419
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Indigo,2019-06-09,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No Info,5699
Spicejet,2019-05-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Air India,2019-05-18,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7690
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10844
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2470
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,170,0.0,No Info,6961
Spicejet,2019-06-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,14714
Air India,2019-05-21,Delhi,Cochin,13:05:00,09:25:00,1220,2.0,No Info,10467
Air India,2019-05-27,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,13223
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,10368
Spicejet,2019-04-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Indigo,2019-04-12,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Multiple Carriers,2019-03-06,Delhi,Cochin,13:55:00,01:35:00,700,1.0,In-flight meal not included,15136
Jet Airways,2019-05-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,6144
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,15898
Air India,2019-05-09,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,12592
Indigo,2019-06-09,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Multiple Carriers,2019-03-09,Delhi,Cochin,04:45:00,19:15:00,870,1.0,No Info,11249
Indigo,2019-06-01,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6416
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,12898
Goair,2019-05-06,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,6296
Goair,2019-05-27,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,6841
Indigo,2019-05-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-06-12,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Vistara,2019-04-09,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Multiple Carriers,2019-06-06,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10877
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Air India,2019-05-12,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,9663
Indigo,2019-06-18,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Indigo,2019-04-15,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5761
Spicejet,2019-06-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,4423
Jet Airways,2019-03-27,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,12242
Spicejet,2019-03-24,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No Info,2753
Multiple Carriers,2019-06-27,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7354
Multiple Carriers,2019-03-03,Delhi,Cochin,18:15:00,01:35:00,440,1.0,No Info,18916
Indigo,2019-05-18,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,04:40:00,1375,1.0,In-flight meal not included,8586
Indigo,2019-05-09,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No Info,11465
Air India,2019-03-24,Kolkata,Banglore,09:10:00,13:40:00,270,1.0,No Info,8026
Indigo,2019-05-21,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Indigo,2019-04-06,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,4423
Air Asia,2019-03-09,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4384
Air India,2019-05-21,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,14960
Vistara,2019-06-21,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,14781
Indigo,2019-06-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Air India,2019-03-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,6902
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12898
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,12:00:00,1655,1.0,In-flight meal not included,9663
Air India,2019-03-21,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,7107
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14323
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,10262
Air India,2019-03-12,Banglore,New Delhi,06:45:00,23:15:00,990,1.0,No Info,11602
Indigo,2019-04-09,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4488
Spicejet,2019-04-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Vistara,2019-04-24,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,16946
Air Asia,2019-05-03,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,5989
Jet Airways,2019-06-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,10844
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,6637
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,14714
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,7980
Jet Airways,2019-06-15,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8610
Indigo,2019-05-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Air India,2019-05-21,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,11542
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No Info,14571
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,In-flight meal not included,10539
Indigo,2019-06-15,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-05-18,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Air India,2019-03-21,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5170
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,6309
Indigo,2019-06-09,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Indigo,2019-03-03,Delhi,Cochin,09:10:00,01:35:00,985,1.0,No Info,14871
Air India,2019-06-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6961
Indigo,2019-06-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Indigo,2019-06-06,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Multiple Carriers,2019-03-27,Delhi,Cochin,10:00:00,18:50:00,530,1.0,No Info,11667
Air India,2019-06-12,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6961
Indigo,2019-03-21,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No Info,7318
Air India,2019-03-03,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,14042
Air India,2019-03-27,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,6565
Air India,2019-05-12,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13243
Air Asia,2019-06-06,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,6857
Multiple Carriers,2019-05-27,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7005
Air India,2019-05-09,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,6612
Air Asia,2019-05-21,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4107
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,In-flight meal not included,11087
Jet Airways,2019-04-24,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,9899
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,21:20:00,580,1.0,In-flight meal not included,7832
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,8586
Air India,2019-03-24,Banglore,New Delhi,06:10:00,08:55:00,165,0.0,No Info,3758
Indigo,2019-06-12,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,In-flight meal not included,9663
Air Asia,2019-05-24,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9135
Indigo,2019-03-21,Delhi,Cochin,20:30:00,01:35:00,305,1.0,No Info,6232
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Jet Airways,2019-05-21,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Vistara,2019-05-09,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Indigo,2019-05-03,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Indigo,2019-05-18,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,6347
Indigo,2019-03-18,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No Info,4148
Goair,2019-03-24,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,5048
Spicejet,2019-06-01,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,In-flight meal not included,16022
Air Asia,2019-05-18,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,5963
Air India,2019-05-21,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No Info,8366
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12373
Vistara,2019-05-01,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,In-flight meal not included,7308
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,In-flight meal not included,11150
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Air India,2019-06-12,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Air Asia,2019-05-09,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,11:25:00,1110,1.0,No Info,17261
Spicejet,2019-04-03,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-09,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No Info,4148
Multiple Carriers,2019-05-09,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No Info,8888
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12402
Air India,2019-04-15,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-05-18,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Indigo,2019-05-15,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Air India,2019-03-24,Kolkata,Banglore,05:55:00,23:15:00,1040,3.0,No Info,15145
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,13067
Jet Airways,2019-04-03,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,5177
Air India,2019-05-27,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Spicejet,2019-06-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,13:20:00,560,1.0,No Info,6305
Multiple Carriers,2019-05-21,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,14067
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Indigo,2019-06-12,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,12373
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13377
Vistara,2019-03-01,Banglore,New Delhi,06:40:00,21:55:00,915,1.0,No Info,18387
Multiple Carriers,2019-05-21,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7485
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,14151
Multiple Carriers,2019-06-24,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,7354
Indigo,2019-04-03,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Air India,2019-03-06,Mumbai,Hyderabad,06:00:00,09:10:00,1630,2.0,No Info,13169
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13727
Goair,2019-05-01,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3898
Goair,2019-06-24,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,3876
Spicejet,2019-05-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Indigo,2019-06-03,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6842
Jet Airways,2019-04-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Air India,2019-03-12,Banglore,New Delhi,17:25:00,10:15:00,1010,2.0,No Info,12778
Air Asia,2019-03-18,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,4284
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13062
Indigo,2019-03-27,Delhi,Cochin,11:55:00,21:20:00,565,2.0,No Info,6494
Indigo,2019-03-18,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,4462
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,No Info,14388
Vistara,2019-03-06,Mumbai,Hyderabad,07:30:00,19:55:00,745,1.0,No Info,12395
Jet Airways,2019-03-03,Delhi,Cochin,16:00:00,18:50:00,1610,1.0,No Info,17234
Jet Airways,2019-03-01,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,18308
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,22:05:00,1745,1.0,No Info,13067
Jet Airways,2019-06-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,10:05:00,1210,1.0,No Info,14231
Air Asia,2019-04-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4107
Jet Airways,2019-03-03,Banglore,New Delhi,05:45:00,05:05:00,1400,1.0,In-flight meal not included,11087
Indigo,2019-05-09,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,8542
Indigo,2019-06-12,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Air India,2019-06-06,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,9416
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Spicejet,2019-05-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,12692
Multiple Carriers,2019-03-27,Delhi,Cochin,04:45:00,19:15:00,870,1.0,No Info,7574
Indigo,2019-03-09,Banglore,New Delhi,15:40:00,20:35:00,295,1.0,No Info,5226
Jet Airways,2019-04-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Indigo,2019-05-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Indigo,2019-05-24,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3858
Jet Airways,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,440,1.0,In-flight meal not included,15400
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262
Indigo,2019-03-03,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4784
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,5575
Indigo,2019-06-03,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,7514
Air India,2019-05-09,Kolkata,Banglore,16:50:00,05:35:00,765,2.0,No Info,11432
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,12692
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No Info,12327
Indigo,2019-03-06,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No Info,13611
Jet Airways,2019-04-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Spicejet,2019-05-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Jet Airways,2019-04-09,Banglore,Delhi,15:50:00,18:45:00,175,0.0,No Info,7229
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,21:20:00,855,2.0,No Info,6653
Air India,2019-06-12,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,13381
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1.0,No Info,13817
Spicejet,2019-03-03,Banglore,New Delhi,10:20:00,18:15:00,475,1.0,No Info,11401
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,12898
Indigo,2019-03-06,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,3175
Multiple Carriers,2019-06-15,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,8614
Indigo,2019-03-24,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,4332
Air India,2019-03-12,Banglore,New Delhi,11:50:00,19:50:00,480,1.0,No Info,11707
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,11507
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,10953
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No Info,7240
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,19:40:00,345,1.0,In-flight meal not included,11134
Multiple Carriers,2019-03-06,Delhi,Cochin,15:05:00,01:35:00,630,2.0,No Info,21483
Indigo,2019-06-03,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5601
Indigo,2019-04-27,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Multiple Carriers,2019-06-24,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,10877
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,10:25:00,830,1.0,No Info,17261
Goair,2019-05-24,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3398
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4160
Spicejet,2019-05-12,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,In-flight meal not included,9134
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Air India,2019-06-01,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,12940
Indigo,2019-06-06,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5054
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No Info,14714
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14781
Air India,2019-05-18,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8576
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,14388
Indigo,2019-06-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9922
Jet Airways,2019-04-01,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Air India,2019-03-12,Mumbai,Hyderabad,16:50:00,12:25:00,1175,3.0,No Info,14260
Vistara,2019-05-12,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-04-09,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,11546
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Indigo,2019-06-15,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Air India,2019-05-18,Kolkata,Banglore,08:20:00,11:10:00,1610,2.0,No Info,11222
Air India,2019-03-21,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,8052
Multiple Carriers,2019-03-09,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,13677
Jet Airways,2019-05-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Indigo,2019-04-12,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Goair,2019-05-09,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,6591
Air India,2019-06-18,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,5201
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Air India,2019-03-09,Banglore,New Delhi,11:05:00,22:45:00,700,1.0,No Info,10657
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,16079
